cluster	gloss
-1	a fisherman's lure that is used in trolling
0	seeds used as livestock feed
1	a small piece or quantity of something
2	a relatively small granular particle of a substance
3	(botany) a slender tubular outgrowth from a pollen grain when deposited on the stigma for a flower; it penetrates the style and conveys the male gametes to the ovule
4	(used of soil) loose and large-grained in consistency
5	(mineralogy) a small rounded lump of mineral substance (usually harder than the surrounding rock or sediment)
6	a small part of something intended as representative of the whole
7	a quality of a given color that differs slightly from another color
8	a formative one-cell layer of tissue between xylem and phloem in most vascular plants that is responsible for secondary growth
9	of textures that are rough to the touch or substances consisting of relatively large particles
10	a particle that has the same mass as another particle but has opposite values for its other properties; interaction of a particle and its antiparticle results in annihilation and the production of radiant energy
11	of textures that are rough to the touch or substances consisting of relatively large particles
12	1/16 ounce or 1.771 grams
13	10 grams
14	a relatively small granular particle of a substance
15	10 grams
16	hard close-grained wood of any of various birch trees; used especially in furniture and interior finishes and plywood
17	a fine usually white clay formed by the weathering of aluminous minerals (as feldspar); used in ceramics and as an absorbent and as a filler (e.g., in paper)
18	a relatively small granular particle of a substance
19	columnar swamp tree of southeastern to midwestern North America yielding pale soft easily worked wood
20	a protein containing 20% iron that is found in the intestines and liver and spleen; it is one of the chief forms in which iron is stored in the body
21	a protein substance that remains when starch is removed from cereal grains; gives cohesiveness to dough
22	(mineralogy) a small rounded lump of mineral substance (usually harder than the surrounding rock or sediment)
23	nut with a wrinkled two-lobed seed and hard but relatively thin shell; widely used in cooking
24	a growing crop that is plowed under to enrich soil
25	a fundamental principle or practice
26	grass yielding grain used for breakfast food and animal feed and in malt beverages
27	a relatively small granular particle of a substance
28	(used of soil) loose and large-grained in consistency
29	a small strip of corrugated steel with sharp points on one side; hammered across wood joints in rough carpentry
30	a perceptual structure
31	(used of soil) loose and large-grained in consistency
32	a microscopic particle of triglycerides produced in the intestines during digestion; in the bloodstream they release their fatty acids into the blood
