cluster	gloss
-1	catch with a net / freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water / important marine food and game fishes found in all tropical and temperate seas; some are at least partially endothermic and can thrive in colder waters
0	a growing crop that is plowed under to enrich soil
1	a small piece or quantity of something
2	a relatively small granular particle of a substance
3	(botany) a slender tubular outgrowth from a pollen grain when deposited on the stigma for a flower; it penetrates the style and conveys the male gametes to the ovule / a formative one-cell layer of tissue between xylem and phloem in most vascular plants that is responsible for secondary growth / a growing crop that is plowed under to enrich soil / a microscopic particle of triglycerides produced in the intestines during digestion; in the bloodstream they release their fatty acids into the blood / a relatively small granular particle of a substance / a small piece or quantity of something / corn whose kernels contain both hard and soft starch and become indented at maturity / grain grown for cattle feed / grains used as food either unpolished or more often polished / the dried stalks and leaves of a field crop (especially corn) used as animal fodder after the grain has been harvested / the elasticity and hardness of a metal object; its ability to absorb considerable energy before cracking / the primary tissue of higher plants composed of thin-walled cells that remain capable of cell division even when mature; constitutes the greater part of leaves, roots, the pulp of fruits, and the pith of stems / the property of being rigid and resistant to pressure; not easily scratched; measured on Mohs scale / the yield from plants in a single growing season / yielding readily to pressure or weight
4	a complex polymer; the chief constituent of wood other than carbohydrates; binds to cellulose fibers to harden and strengthen cell walls of plants / a line or cut across a fabric that is not at right angles to a side of the fabric / a natural fiber (raw cotton, wool, hemp, flax) that can be twisted to form yarn / a slender and greatly elongated substance capable of being spun into yarn / a soft silvery metallic element; a rare earth of the lanthanide series; it occurs in gadolinite and monazite and xenotime / fine white Philippine fiber from stalks of unopened leaves of talipot palms; used in making hats / only one line can be drawn through a point parallel to another line / the angle that a line makes with a line perpendicular to the surface at the point of incidence / the hard fibrous lignified substance under the bark of trees
5	(mineralogy) a small rounded lump of mineral substance (usually harder than the surrounding rock or sediment) / (used of soil) loose and large-grained in consistency / a growing crop that is plowed under to enrich soil / a very fine-grained soil that is plastic when moist but hard when fired / cultivated as feed for livestock / grain grown for cattle feed
6	a small part of something intended as representative of the whole / a small piece or quantity of something / an organized body of related information
7	a quality of a given color that differs slightly from another color / a soft shade of a color / being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light
8	a formative one-cell layer of tissue between xylem and phloem in most vascular plants that is responsible for secondary growth / a small body that contains the female germ cell of a plant; develops into a seed after fertilization / the woody part of plants: the supporting and water-conducting tissue, consisting primarily of tracheids and vessels
9	of textures that are rough to the touch or substances consisting of relatively large particles / of textures that are smooth to the touch or substances consisting of relatively small particles / the feel of a surface or a fabric
10	a particle that has the same mass as another particle but has opposite values for its other properties; interaction of a particle and its antiparticle results in annihilation and the production of radiant energy / a relatively small granular particle of a substance / a substance (an atom or molecule or radical or ion) that forms a complex around a central atom
