cluster	gloss
-1	an artificial waterway connecting the Hudson river at Albany with Lake Erie at Buffalo; built in the 19th century; now part of the New York State Barge Canal
0	extend on all sides of simultaneously; encircle
1	power to influence or coerce
2	burden with too much work or responsibility / consume all of one's attention or time
3	drained of energy or effectiveness; extremely tired; completely exhausted / the state of being emotionally aroused and worked up
4	(of time) taken up / duration as an extension / require (time or space) / the 90 degree angle between two perpendicular lines / the cardinal compass point that is a 270 degrees / the cardinal compass point that is at 0 or 360 degrees
5	a limitation or constraint / by a considerable margin / go against, as of rules and laws / pass beyond (limits or boundaries) / surpass in staying power / surpass or beat by a wide margin
6	act as a barrier between; stand between / be interwoven or interconnected / very close or connected in space or time
7	exploit excessively / extend to a certain degree / to a meager degree or in a meager manner
8	of or relating to space and time together (having both spatial extension and temporal duration) / span an interval of distance, space or time / to cover or extend over an area or time period; ,
